City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
torbay,20,CA,1554424467,74,47.66,-52.73,0.56,9.3
atuona,76,PF,1554424703,99,-9.8,-139.03,28.07,7.06
naze,12,NG,1554424625,91,5.43,7.07,23.77,3.31
ushuaia,75,AR,1554422400,86,-54.81,-68.31,4,6.2
saint-georges,76,CA,1554424267,47,46.12,-70.67,-2.78,4.47
san cristobal,92,EC,1554424203,88,-0.39,-78.55,11.11,0.96
sergeyevka,92,KZ,1554424704,96,53.88,67.42,0.17,5.81
pokrovsk,32,UA,1554424705,72,48.28,37.18,-2.99,1.51
tasiilaq,0,GL,1554421800,73,65.61,-37.64,-4,5.1
norman wells,20,CA,1554422400,56,65.28,-126.83,-10,3.6
jamestown,0,AU,1554424690,37,-33.21,138.6,24.62,6.96
goderich,88,CA,1554424621,76,43.74,-81.71,0.56,2.66
togur,36,RU,1554424706,70,58.36,82.83,-7.54,1.16
kavaratti,0,IN,1554424707,100,10.57,72.64,28.47,1.21
eyl,44,SO,1554424707,100,7.98,49.82,25.77,3.41
cockburn town,56,TC,1554424707,98,21.46,-71.14,25.82,7.26
mantua,75,IT,1554424624,100,45.16,10.79,8.89,2.1
narsaq,92,GL,1554421800,27,60.91,-46.05,5,8.2
pacific grove,75,US,1554424699,59,36.62,-121.92,16.67,3.6
saint-philippe,1,CA,1554424704,69,45.36,-73.48,0.56,6.2
vostok,92,RU,1554424709,78,46.45,135.83,0.42,1.41
lethem,92,GY,1554424709,40,3.38,-59.8,33.12,6.66
presidencia roque saenz pena,88,AR,1554424499,91,-26.79,-60.44,20.27,7.96
paraiso,75,MX,1554424216,6,24.01,-104.61,26,7.2
pevek,32,RU,1554424710,95,69.7,170.27,-7.19,2.41
ahipara,88,NZ,1554424710,83,-35.17,173.16,19.07,4.11
hermanus,80,ZA,1554424305,90,-34.42,19.24,13.89,1.46
ribeira grande,48,PT,1554424711,100,38.52,-28.7,14.32,8.01
ponta do sol,48,BR,1554424711,94,-20.63,-46,19.42,0.71
bilma,0,NE,1554424711,22,18.69,12.92,23.77,3.06
zemio,0,CF,1554424712,72,5.02,25.13,20.67,1.66
ust-maya,56,RU,1554424712,68,60.42,134.54,-2.49,1.66
hithadhoo,64,MV,1554424712,100,-0.6,73.08,27.57,1.56
provideniya,0,RU,1554420600,68,64.42,-173.23,-3,6
bosaso,8,SO,1554424713,100,11.28,49.18,26.07,2.66
castro,90,CL,1554422400,81,-42.48,-73.76,10,2.1
itarema,68,BR,1554424714,99,-2.92,-39.92,23.22,2.81
victoria,75,BN,1554422400,88,5.28,115.24,28,1.16
uvat,0,RU,1554424714,76,59.14,68.9,-7.69,1.06
los llanos de aridane,75,ES,1554424504,63,28.66,-17.92,17,3.1
cherskiy,0,RU,1554424715,73,68.75,161.3,-2.99,1.06
kahului,20,US,1554424473,45,20.89,-156.47,30,10.8
saldanha,92,PT,1554424715,98,41.42,-6.55,4.82,4.81
per,0,PL,1554422400,56,51.1,23.12,6,3.1
aripuana,20,BR,1554424716,85,-9.17,-60.63,27.02,0.91
carnarvon,8,ZA,1554424717,75,-30.97,22.13,11.62,7.16
lompoc,90,US,1554424595,62,34.64,-120.46,17,5.1
port blair,0,IN,1554424717,100,11.67,92.75,28.67,1.66
hanford,20,US,1554424582,55,36.33,-119.65,19.44,2.11
idlib,40,SY,1554421800,82,35.93,36.64,13,3.1
la ronge,90,CA,1554422400,68,55.1,-105.3,-3,4.1
north bend,20,US,1554424532,71,43.41,-124.22,14.44,5.1
birin,92,SY,1554424718,93,35.01,36.67,8.32,1.66
vestmannaeyjar,68,IS,1554424472,93,63.44,-20.27,3.17,1.66
esperance,20,TT,1554424507,74,10.24,-61.45,26,2.6
cuamba,24,MZ,1554424719,86,-14.8,36.54,20.22,1.21
avarua,24,CK,1554422400,83,-21.21,-159.78,25,2.1
georgiyevskoye,0,RU,1554424720,88,44.16,39.25,-2.09,0.41
arraial do cabo,40,BR,1554418800,88,-22.97,-42.02,26,5.1
san policarpo,80,PH,1554424692,100,12.18,125.51,25.22,2.11
egvekinot,32,RU,1554424721,87,66.32,-179.17,-7.24,1.41
gonaives,76,HT,1554424721,79,19.45,-72.68,24.82,0.41
waipawa,80,NZ,1554423977,77,-39.94,176.59,15,2.01
douglas,75,US,1554422160,80,58.28,-134.39,5,3.1
berlevag,76,NO,1554424722,100,70.86,29.09,-2.19,2.96
homer,1,US,1554424619,49,59.64,-151.54,8,5.71
necochea,0,AR,1554424306,77,-38.55,-58.74,16.11,4.02
port alfred,92,ZA,1554424614,95,-33.59,26.89,17.22,1.79
champerico,75,MX,1554421380,33,16.38,-93.6,33,5.1
ancud,90,CL,1554422400,81,-41.87,-73.83,10,2.1
nikolskoye,0,RU,1554424536,51,59.7,30.79,3,2
mahebourg,20,MU,1554424442,88,-20.41,57.7,24.44,0.5
realeza,92,BR,1554424724,94,-25.77,-53.53,21.27,2.41
rawson,0,AR,1554424724,37,-43.3,-65.11,13.22,2.76
flinders,40,AU,1554424505,72,-34.58,150.85,21.11,2.1
saskylakh,0,RU,1554424725,81,71.97,114.09,-10.39,3.21
amfiklia,20,GR,1554424502,87,38.64,22.59,12.78,0.76
pisco,75,PE,1554422400,78,-13.71,-76.2,22,5.7
strezhevoy,0,RU,1554420600,85,60.73,77.6,-5,1.21
sorland,0,NO,1554424726,100,67.67,12.69,3.27,6.81
sao joao da barra,0,BR,1554418800,88,-21.64,-41.05,26,1
lebu,75,ET,1554418800,93,8.96,38.73,13,1
bethlehem,1,US,1554424724,32,40.62,-75.38,13,1.76
yar-sale,64,RU,1554424727,87,66.83,70.83,-1.69,6.61
dunedin,92,NZ,1554424646,61,-45.87,170.5,12.22,4.92
betong,0,MY,1554424566,93,5.77,101.07,21.42,1.01
airai,88,TL,1554424728,91,-8.93,125.41,21.32,0.46
leningradskiy,20,RU,1554424728,100,69.38,178.42,-11.34,3.01
praia da vitoria,75,PT,1554424241,58,38.73,-27.07,13,10.21
glendive,75,US,1554423300,25,47.11,-104.71,19,4.6
new norfolk,20,AU,1554424695,42,-42.78,147.06,18.89,4.6
matay,0,EG,1554424730,56,28.42,30.79,13.92,4.31
sitka,0,US,1554424275,54,37.17,-99.65,18.89,3.13
timizart,0,DZ,1554424101,80,36.8,4.25,10,0.91
faya,0,SA,1554422400,87,18.39,42.45,16,5.1
bay roberts,20,CA,1554424710,74,47.58,-53.28,0.56,9.3
paamiut,92,GL,1554424696,84,61.99,-49.67,2.02,13.36
san isidro,20,PH,1554424733,82,16.74,121.63,24.87,1.86
camacupa,48,AO,1554424733,62,-12.02,17.48,20.12,2.46
hit,80,IQ,1554424734,88,33.64,42.83,11.32,3.06
xining,0,CN,1554424734,70,36.62,101.77,-5.59,1.16
lata,8,IN,1554424734,72,30.78,78.62,7.17,1.21
honningsvag,48,NO,1554424734,98,70.98,25.97,-2.44,1.96
vao,0,EE,1554424648,82,59.1,26.19,0.02,2.36
pitanga,20,BR,1554424735,86,-24.76,-51.76,22.22,1.51
veracruz,40,VE,1554422400,65,7.66,-72.25,27,1
williams lake,75,CA,1554422400,62,52.13,-122.14,11,3.6
ahuimanu,40,US,1554424655,65,21.44,-157.84,29,4.1
north las vegas,75,US,1554424547,23,36.2,-115.11,25,3.1
chuy,92,UY,1554424737,98,-33.69,-53.46,19.97,5.01
visby,0,SE,1554424373,69,57.64,18.3,6.11,4.6
cootamundra,8,AU,1554424229,56,-34.64,148.03,22.78,4.47
verkh-usugli,0,RU,1554424738,47,52.7,115.17,-4.69,1.61
sinop,92,TR,1554424738,98,42.03,35.15,8.62,6.16
hasaki,75,JP,1554424228,54,35.73,140.83,17.22,3.1
severo-kurilsk,36,RU,1554424738,91,50.68,156.12,1.52,2.06
dikson,56,RU,1554424739,100,73.51,80.55,-7.89,3.66
klaksvik,8,FO,1554423600,70,62.23,-6.59,6,6.7
khatanga,64,RU,1554424609,89,71.98,102.47,-8.39,7.01
georgetown,40,GY,1554422400,78,6.8,-58.16,27,6.2
phulji,0,PK,1554424740,31,26.88,67.68,23.12,2.46
balakovo,44,RU,1554424740,86,52.02,47.82,-1.54,1.31
tautira,40,PF,1554424346,79,-17.73,-149.15,31,4.6
qasigiannguit,40,GL,1554421800,49,68.82,-51.19,-4,10.3
jatai,48,IN,1554424741,70,28.97,76.18,20.67,1.26
ngaoundere,36,CM,1554424742,83,7.32,13.58,18.97,1.26
barabai,92,ID,1554424742,98,-2.59,115.38,22.42,1.26
yatou,0,CM,1554422400,100,3.63,9.81,24,1
cabo san lucas,75,MX,1554424285,31,22.89,-109.91,27.22,3.76
preobrazheniye,20,RU,1554424743,64,42.9,133.91,3.77,2.26
ketchikan,90,US,1554422160,81,55.34,-131.65,7,9.3
caucaia,0,BR,1554424689,78,-3.73,-38.66,27,1
arco,75,IT,1554424744,100,45.92,10.89,10.56,2.1
pouembout,32,NC,1554424600,64,-21.12,164.9,27.72,1.66
batagay-alyta,32,RU,1554424745,87,67.8,130.41,-5.94,1.86
zhigansk,32,RU,1554424745,74,66.77,123.37,-3.94,1.41
cape town,75,ZA,1554424390,72,-33.93,18.42,15,6.2
walvis bay,0,NA,1554422529,87,-22.95,14.51,15,3.6
anuradhapura,0,LK,1554424746,87,8.34,80.41,24.02,1.21
ayan,12,TR,1554424746,78,40.67,33.6,-0.54,0.66
bambous virieux,20,MU,1554424442,88,-20.34,57.76,24.44,0.5
sumbe,24,AO,1554424747,100,-11.2,13.84,26.87,2.86
lavrentiya,0,RU,1554424747,95,65.58,-170.99,-5.39,9.31
hisor,90,TJ,1554422400,77,38.53,68.55,17,6
huarmey,8,PE,1554424748,80,-10.07,-78.15,20.37,1.51
hami,44,CN,1554424748,49,42.84,93.51,7.82,1.31
caxias,90,BR,1554422400,94,-4.87,-43.35,25,2.1
rodrigues alves,40,BR,1554422400,94,-7.74,-72.65,27,1.46
chokurdakh,36,RU,1554424749,98,70.62,147.9,-9.44,2.26
richards bay,88,ZA,1554424749,96,-28.77,32.06,21.27,5.36
palmer,0,AU,1554424666,20,-34.85,139.16,32.22,9.8
darhan,92,MN,1554424750,69,49.49,105.92,-2.04,6.06
tabou,56,CI,1554424750,100,4.42,-7.36,27.47,6.46
tuatapere,92,NZ,1554424208,60,-46.13,167.69,13.89,2.96
russell,20,AR,1554422400,58,-33.01,-68.8,20,2.6
pontianak,20,ID,1554420600,100,-0.02,109.34,24,2.26
dhidhdhoo,0,MV,1554424752,100,6.88,73.1,28.77,2.41
yafran,92,LY,1554424752,46,32.06,12.53,19.32,6.21
fagernes,0,NO,1554424590,86,60.99,9.24,-3.33,0.96
atherton,90,GB,1554424747,87,53.52,-2.49,6.67,3.6
fortuna,75,ES,1554424548,82,38.18,-1.13,14.44,1.81
dieppe,0,FR,1554424735,65,49.92,1.08,5.56,4.1
phalaborwa,0,ZA,1554422400,68,-23.95,31.14,22,1
port-cartier,90,CA,1554424698,53,50.03,-66.88,-4.44,9.3
murgab,75,TM,1554422400,82,37.5,61.97,14,3.31
yerbogachen,76,RU,1554424755,86,61.28,108.01,-4.59,1.91
tela,20,HN,1554424539,74,15.78,-87.45,28,5.1
shimoda,0,JP,1554424594,39,34.7,138.93,17,10.8
damoh,68,IN,1554424756,78,23.84,79.44,19.82,1.31
san patricio,92,PY,1554424756,97,-26.98,-56.83,23.12,2.51
wolfsburg,75,DE,1554424717,93,52.42,10.79,7.78,2.1
sao filipe,36,CV,1554424757,96,14.9,-24.5,21.37,8.51
tilichiki,92,RU,1554424757,89,60.47,166.1,1.72,4.11
mawlaik,8,MM,1554424757,89,23.63,94.42,18.32,1.06
dingle,0,PH,1554424758,76,11,122.67,26.52,4.36
iracoubo,88,GF,1554424758,70,5.48,-53.21,26.32,2.56
guarapari,75,BR,1554424453,83,-20.67,-40.5,27,4.1
port lincoln,48,AU,1554424758,69,-34.72,135.86,22.62,10.61
bonthe,0,SL,1554424759,84,7.53,-12.5,26.52,2.31
chodavaram,0,IN,1554424759,92,17.44,81.78,20.97,0.96
nuuk,75,GL,1554424324,40,64.17,-51.74,2,10.3
buri,36,BR,1554424760,81,-23.8,-48.6,22.77,1.66
juneau,75,US,1554422160,80,58.3,-134.42,5,3.1
calama,40,CL,1554424281,62,-22.46,-68.93,12,8.7
tiksi,0,RU,1554424761,71,71.64,128.87,-3.39,2.66
tiarei,40,PF,1554424346,79,-17.53,-149.33,31,4.6
botshabelo,92,ZA,1554422400,93,-29.23,26.73,14,1.5
thompson,90,CA,1554422400,79,55.74,-97.86,-6,1.5
tacoronte,8,ES,1554424582,93,28.48,-16.41,18,8.7
rocha,48,UY,1554424762,77,-34.48,-54.34,19.67,6.36
saint simons,75,US,1554424682,77,31.14,-81.39,18.89,2.6
casper,20,US,1554424703,32,42.87,-106.31,15,7.7
namibe,0,AO,1554424644,100,-15.19,12.15,25.87,4.66
dzerzhinskoye,0,RU,1554424764,73,56.84,95.22,-8.34,1.11
kaka,64,TM,1554424764,100,37.35,59.62,10.07,0.91
longyan,80,CN,1554424764,99,25.1,117.03,16.67,1.11
dire dawa,68,ET,1554424764,69,9.59,41.86,17.47,1.16
mumbwa,0,ZM,1554424765,77,-14.99,27.06,16.07,2.01
hamilton,90,BM,1554424273,63,32.3,-64.78,18,5.7
curillo,12,CO,1554424766,86,1.03,-75.92,23.77,0.86
beyneu,0,KZ,1554424766,84,45.32,55.19,1.17,1.31
port-gentil,40,GA,1554418800,89,-0.72,8.78,29,3.6
nata,20,CY,1554424311,87,34.78,32.57,14,3.1
sisimiut,56,GL,1554424533,90,66.94,-53.67,-6.29,1.91
ramachandrapuram,0,IN,1554424531,84,16.83,82.03,23.77,2.21
naryan-mar,76,RU,1554424767,89,67.67,53.09,-2.99,5.86
hualmay,24,PE,1554424768,87,-11.1,-77.61,20.12,2.26
almas,44,BR,1554424768,94,-11.57,-47.17,21.82,1.31
semnan,0,IR,1554418800,50,35.58,53.39,12,1.31
valdosta,20,US,1554424508,49,30.83,-83.28,22,2.1
barra do garcas,44,BR,1554424769,84,-15.89,-52.26,25.32,1.86
port pirie,0,AU,1554422400,23,-33.18,138.01,31,12.3
great yarmouth,8,GB,1554424717,81,52.61,1.73,8.33,4.1
saint george,20,GR,1554424408,87,39.45,22.34,11.11,1.21
qiongshan,40,CN,1554422400,94,20.01,110.35,25,3
sayat,75,TM,1554422400,77,38.78,63.88,15,4.1
manchar,0,IN,1554424771,91,19,73.94,16.77,0.86
campbellford,40,CA,1554424587,59,44.31,-77.8,1.67,5.1
ishigaki,75,JP,1554422400,94,24.34,124.16,22,3.1
taiyuan,0,CN,1554422400,43,37.86,112.56,11,1
zastavna,0,UA,1554424645,49,48.52,25.85,6.11,3.13
moron,80,VE,1554424773,88,10.49,-68.2,21.22,1.81
krasnyy chikoy,80,RU,1554424773,41,50.36,108.75,-4.04,1.31
quatre cocos,20,MU,1554424742,88,-20.21,57.76,24.44,0.5
ovalle,0,CL,1554424774,92,-30.6,-71.2,16.12,1.26
ngunguru,20,NZ,1554424684,70,-35.62,174.5,20,1.34
namatanai,88,PG,1554424774,100,-3.66,152.44,26.87,1.76
mushie,32,CD,1554424775,94,-3.02,16.92,23.77,1.21
nelson bay,75,AU,1554424274,83,-32.72,152.14,22.22,4.1
cabedelo,20,BR,1554422400,83,-6.97,-34.84,27,2.1
springbok,0,ZA,1554424776,91,-29.67,17.88,10.12,2.56
muroto,0,JP,1554422400,95,33.37,134.14,15,1.5
karaton,20,ID,1554424773,74,-6.34,106.1,27,2.1
kigoma,76,TZ,1554424777,100,-4.88,29.64,24.02,0.96
udachnyy,76,RU,1554424777,70,66.42,112.4,-5.84,1.41
okha,92,RU,1554424777,97,53.59,142.95,-0.49,8.06
touros,20,BR,1554418800,94,-5.2,-35.46,26,1.5
port elizabeth,1,US,1554424624,40,39.31,-74.98,14,2.1
kasongo-lunda,20,CD,1554424778,94,-6.48,16.82,22.47,1.06
tagusao,0,PH,1554424779,89,9.19,117.81,26.82,0.41
palana,56,RU,1554424779,67,59.08,159.95,2.22,4.26
gualaquiza,48,EC,1554424779,74,-3.4,-78.58,21.42,0.71
fairbanks,1,US,1554424552,48,64.84,-147.72,1.11,7.2
kupang,90,ID,1554420600,88,-10.16,123.6,27,1.5
suamico,90,US,1554424576,51,44.63,-88.04,4,2.1
kurmanayevka,76,RU,1554424781,94,52.51,52.07,1.52,2.56
kijang,0,KR,1554422400,37,35.24,129.21,12,0.5
cleveland,90,US,1554424758,32,41.51,-81.69,8,2.6
hirara,75,JP,1554423720,100,24.8,125.28,22,2.6
heinola,0,FI,1554424421,74,61.2,26.03,-1,2.1
serebryansk,20,KZ,1554424782,87,49.68,83.3,1.02,0.96
rio grande,92,BR,1554424756,100,-32.03,-52.1,20.57,3.01
caravelas,0,BR,1554424783,96,-17.73,-39.27,28.17,6.26
tieling,0,CN,1554424783,61,42.29,123.84,5.72,5.86
atar,0,MR,1554424783,71,20.52,-13.05,12.57,1.31
isangel,90,VU,1554422400,70,-19.55,169.27,30,4.1
anadyr,0,RU,1554424350,85,64.73,177.51,-6.11,2
tromso,0,NO,1554423600,85,69.65,18.96,-6,6.7
tura,32,IN,1554424562,83,25.52,90.21,19.27,4.36
qaanaaq,64,GL,1554424785,86,77.48,-69.36,-15.49,2.46
nishihara,75,JP,1554424651,47,35.74,139.53,18.33,0.5
erenhot,64,CN,1554424786,57,43.65,111.97,1.52,8.26
matara,56,PE,1554424786,48,-13.74,-72.9,10.22,0.86
tugulym,0,RU,1554420600,63,57.06,64.64,-2,3
clyde river,1,CA,1554422400,77,70.47,-68.59,-19,1.66
vila franca do campo,75,PT,1554424763,62,37.72,-25.43,12.78,6.2
poum,80,MK,1554424654,70,41.28,20.71,5.67,1.11
akureyri,0,IS,1554422400,74,65.68,-18.09,1,1
qujing,8,CN,1554424788,88,25.49,103.8,6.67,1.66
nanortalik,80,GL,1554424687,95,60.14,-45.24,-0.49,15.11
camacha,40,PT,1554422400,72,33.08,-16.33,15,7.7
khairpur nathan shah,0,PK,1554424789,31,27.09,67.73,23.12,2.46
port augusta,0,AU,1554424186,23,-32.49,137.76,31,12.3
lagoa,75,PT,1554424329,82,37.14,-8.45,14,7.7
taltal,8,CL,1554424790,90,-25.41,-70.49,14.42,0.96
newport,92,GB,1554424747,93,51.59,-3,6.11,5.1
lorengau,0,PG,1554424791,93,-2.02,147.27,29.27,2.06
sinegorye,80,RU,1554424791,88,62.09,150.53,-4.39,1.21
acapulco,5,MX,1554421800,70,16.86,-99.88,29,5.7
anloga,40,GH,1554418800,79,5.79,0.9,30,4.6
luebo,92,CD,1554424792,99,-5.35,21.42,21.12,1.31
sartell,90,US,1554424746,55,45.62,-94.21,5,4.1
umm lajj,0,SA,1554424793,100,25.02,37.27,16.77,1.96
okhotsk,92,RU,1554424793,73,59.36,143.24,1.87,3.01
nalagarh,20,IN,1554424793,73,31.04,76.72,14.17,0.96
waddan,32,LY,1554424794,42,29.16,16.14,17.97,2.86
pittsburg,40,US,1554424568,52,38.02,-121.89,18.33,5.7
abu samrah,80,SY,1554424794,96,35.3,37.18,10.22,2.21
ugoofaaru,0,MV,1554424794,100,5.67,73,29.02,2.11
bichena,0,ET,1554424795,89,10.45,38.2,11.07,0.81
gimbi,12,ET,1554424795,88,8.81,37.79,8.82,1.06
luau,12,CD,1554424795,92,-10.7,22.23,19.22,1.26
sobolivka,0,UA,1554424796,66,50.89,28.72,-2.44,1.31
vitim,80,RU,1554424796,76,59.44,112.57,-3.09,1.76
karasburg,0,NA,1554424796,71,-28.01,18.75,12.97,3.66
coquimbo,0,CL,1554422400,87,-29.95,-71.34,15,2.6
sabang,64,PH,1554424797,100,13.72,123.58,24.52,1.36
boa vista,0,BR,1554422400,43,2.82,-60.67,32,3.6
yeppoon,20,AU,1554422400,54,-23.13,150.74,27,7.2
katsuura,40,JP,1554424447,50,33.93,134.5,17.22,1
san jose,24,PH,1554424745,88,15.79,120.99,23.57,1.31
mersin,75,TR,1554421800,93,36.81,34.63,11.11,3.06
saint-paul,0,FR,1554424517,83,45.22,1.9,3.33,3.6
jacareacanga,80,BR,1554424801,84,-6.22,-57.76,27.17,1.51
kavieng,48,PG,1554424801,100,-2.57,150.8,28.02,0.91
brae,24,GB,1554421800,93,60.4,-1.35,7,6.2
salekhard,32,RU,1554424802,84,66.54,66.62,-3.94,6.11
puerto escondido,40,MX,1554421500,66,15.86,-97.07,30,4.1
yulara,0,AU,1554422400,24,-25.24,130.99,26,1.5
safonovo,20,RU,1554424803,65,55.11,33.24,-3.09,3.26
deputatskiy,0,RU,1554424649,84,69.3,139.9,-6.34,1.76
barra patuca,88,HN,1554424803,87,15.8,-84.28,27.07,6.26
lasa,20,CY,1554424311,87,34.92,32.53,14,3.1
santa cruz,90,US,1554424593,62,36.97,-122.03,17.22,4.1
zhangjiakou,12,CN,1554424806,58,40.77,114.88,2.92,1.51
pijijiapan,0,MX,1554424806,57,15.69,-93.21,26.82,1.41
alofi,75,NU,1554422400,79,-19.06,-169.92,29,5.7
yarega,0,RU,1554424807,77,63.43,53.58,-0.69,3.26
college,1,US,1554424711,48,64.86,-147.8,3,7.2
sur,48,OM,1554424808,80,22.57,59.53,26.82,1.51
antofagasta,0,CL,1554422400,77,-23.65,-70.4,18,1
uniontown,90,US,1554424808,46,39.9,-79.72,12,3.6
chumikan,88,RU,1554424809,76,54.72,135.31,-1.09,1.36
nerchinsk,20,RU,1554424809,45,51.98,116.59,-1.99,2.86
moose factory,1,CA,1554422400,44,51.26,-80.61,-6,1.5
kurchum,0,KZ,1554424810,82,48.57,83.65,4.77,1.16
constitucion,75,MX,1554424216,6,23.99,-104.67,26,7.2
san carlos de bariloche,0,AR,1554422400,70,-41.13,-71.31,8,8.2
skegness,0,GB,1554424803,81,53.14,0.34,7,5.1
vila velha,0,BR,1554422888,78,-3.71,-38.6,27,1
souillac,0,FR,1554424764,70,45.6,-0.6,8.89,5.1
bordighera,0,IT,1554424609,45,43.79,7.66,9,3.6
tirumullaivasal,20,IN,1554424812,97,11.24,79.84,25.82,2.66
skjervoy,32,NO,1554424685,100,70.03,20.97,-0.49,2.26
rio gallegos,20,AR,1554422400,70,-51.62,-69.22,9,5.7
hoquiam,90,US,1554424805,66,46.98,-123.89,16,1.41
kaitangata,92,NZ,1554424800,54,-46.28,169.85,11.67,3.58
sioux lookout,75,CA,1554422400,35,50.1,-91.92,4,3.6
taft,80,PH,1554424814,100,11.9,125.42,25.22,2.11
hay river,40,CA,1554422400,40,60.82,-115.79,-10,1.5
khandbari,32,NP,1554424814,64,27.38,87.21,0.92,0.76
danielskuil,56,ZA,1554424814,58,-28.19,23.54,12.57,1.91
japura,92,ID,1554424815,99,-0.42,102.29,22.72,1.11
daru,12,SL,1554424815,77,7.99,-10.85,25.57,2.86
nago,75,IT,1554424813,100,45.88,10.89,10.56,2.1
morros,75,BR,1554422400,94,-2.87,-44.04,25,1.5
luganville,92,VU,1554424816,100,-15.51,167.18,28.07,3.11
san felipe,0,CL,1554424795,68,-32.75,-70.73,19.44,0.61
awbari,20,LY,1554424818,47,26.59,12.77,19.27,3.01
gigmoto,56,PH,1554424818,100,13.78,124.39,25.27,2.21
onega,80,RU,1554424819,82,63.91,38.09,0.12,3.76
the valley,20,AI,1554424282,69,18.22,-63.06,26,5.7
chicama,20,PE,1554422400,88,-7.84,-79.15,21,4.1
honiara,36,SB,1554424819,81,-9.43,159.96,28.42,1.31
khandyga,32,RU,1554424820,67,62.65,135.58,-4.94,1.21
tecoanapa,5,MX,1554421800,70,16.99,-99.26,29,5.7
gamba,0,CN,1554424820,77,28.28,88.52,-18.74,1.31
bereda,0,ES,1554424805,87,43.27,-7.54,7.78,4.1
meadow lake,90,CA,1554422400,68,54.13,-108.44,-2,4.1
longyearbyen,90,NO,1554423600,94,78.22,15.63,0,16.5
westport,88,IE,1554424806,89,53.8,-9.52,4.44,2.56
batemans bay,88,AU,1554424606,76,-35.71,150.18,20.56,1.34
camopi,64,GF,1554424823,90,3.17,-52.33,23.92,1.66
mount gambier,36,AU,1554424810,61,-37.83,140.78,20.77,4.46
marathon,24,CA,1554424573,74,48.72,-86.38,-2.89,3.66
kawalu,92,ID,1554424824,98,-7.38,108.21,20.52,0.76
nanpiao,0,CN,1554424824,35,41.1,120.75,6.77,5.01
iquique,0,CL,1554422400,72,-20.22,-70.14,20,2.6
altamont,90,CA,1554424821,100,49.4,-98.5,4,7.2
bathsheba,20,BB,1554422400,73,13.22,-59.52,25,7.7
